step,agent_id,type,side,price,quantity
146,Trend_01,market,sell,MKT,5
146,Arb_01,market,buy,MKT,5
147,MM_01,limit,buy,102.3,10
147,Trend_01,market,sell,MKT,5
147,Arb_01,market,buy,MKT,5
148,MM_01,limit,sell,102.05,10
148,Trend_01,market,sell,MKT,5
148,Arb_01,market,sell,MKT,5
149,MM_01,limit,sell,102.26,10
149,Trend_01,market,sell,MKT,5
149,Arb_01,market,buy,MKT,5
150,MM_01,limit,buy,102.19,10
150,Trend_01,market,buy,MKT,5
150,Arb_01,market,sell,MKT,5
151,MM_01,limit,sell,103.21,10
151,Trend_01,market,buy,MKT,5
151,Arb_01,market,buy,MKT,5
152,MM_01,limit,buy,103.16,10
152,Trend_01,market,buy,MKT,5
152,Arb_01,market,sell,MKT,5
153,MM_01,limit,buy,102.36,10
153,Trend_01,market,sell,MKT,5
153,Arb_01,market,sell,MKT,5
154,MM_01,limit,sell,102.7,10
154,Trend_01,market,sell,MKT,5
154,Arb_01,market,sell,MKT,5
155,MM_01,limit,sell,102.39,10
155,Trend_01,market,sell,MKT,5
155,Arb_01,market,buy,MKT,5
156,MM_01,limit,sell,102.47,10
156,Trend_01,market,sell,MKT,5
156,Arb_01,market,buy,MKT,5
157,MM_01,limit,buy,102.41,10
157,Trend_01,market,buy,MKT,5
157,Arb_01,market,buy,MKT,5
158,MM_01,limit,buy,103.32,10
158,Trend_01,market,buy,MKT,5
159,MM_01,limit,buy,103.13,10
159,Trend_01,market,buy,MKT,5
159,Arb_01,market,buy,MKT,5
160,MM_01,limit,buy,103.15,10
160,Trend_01,market,buy,MKT,5
161,MM_01,limit,buy,103.27,10
161,Trend_01,market,buy,MKT,5
161,Arb_01,market,sell,MKT,5
162,MM_01,limit,sell,103.77,10
162,Trend_01,market,buy,MKT,5
163,MM_01,limit,buy,102.86,10
163,Trend_01,market,sell,MKT,5
163,Arb_01,market,buy,MKT,5
164,MM_01,limit,sell,102.12,10
164,Trend_01,market,sell,MKT,5
164,Arb_01,market,buy,MKT,5
165,MM_01,limit,buy,100.69,10
165,Trend_01,market,sell,MKT,5
166,MM_01,limit,sell,99.54,10
166,Trend_01,market,sell,MKT,5
167,MM_01,limit,sell,99.58,10
167,Trend_01,market,sell,MKT,5
167,Arb_01,market,buy,MKT,5
168,MM_01,limit,buy,99.27,10
168,Trend_01,market,sell,MKT,5
168,Arb_01,market,sell,MKT,5
169,MM_01,limit,sell,99.69,10
169,Trend_01,market,buy,MKT,5
169,Arb_01,market,buy,MKT,5
170,MM_01,limit,buy,99.52,10
170,Trend_01,market,buy,MKT,5
170,Arb_01,market,sell,MKT,5
171,MM_01,limit,sell,98.82,10
171,Trend_01,market,sell,MKT,5
171,Arb_01,market,sell,MKT,5
172,MM_01,limit,sell,98.84,10
172,Trend_01,market,sell,MKT,5
172,Arb_01,market,sell,MKT,5
173,MM_01,limit,sell,99.06,10
173,Trend_01,market,sell,MKT,5
174,MM_01,limit,sell,99.21,10
174,Trend_01,market,buy,MKT,5
175,MM_01,limit,buy,99.41,10
175,Trend_01,market,buy,MKT,5
176,MM_01,limit,buy,98.98,10
176,Trend_01,market,sell,MKT,5
176,Arb_01,market,buy,MKT,5
177,MM_01,limit,sell,99.13,10
177,Trend_01,market,sell,MKT,5
177,Arb_01,market,buy,MKT,5
178,MM_01,limit,buy,97.79,10
178,Trend_01,market,sell,MKT,5
178,Arb_01,market,sell,MKT,5
179,MM_01,limit,sell,96.53,10
179,Trend_01,market,sell,MKT,5
180,MM_01,limit,sell,96.27,10
180,Trend_01,market,sell,MKT,5
180,Arb_01,market,sell,MKT,5
181,MM_01,limit,sell,96.47,10
181,Trend_01,market,sell,MKT,5
181,Arb_01,market,buy,MKT,5
182,MM_01,limit,sell,97.27,10
182,Trend_01,market,buy,MKT,5
182,Arb_01,market,sell,MKT,5
183,MM_01,limit,buy,96.48,10
183,Trend_01,market,sell,MKT,5
183,Arb_01,market,buy,MKT,5
184,MM_01,limit,sell,96.37,10
184,Trend_01,market,sell,MKT,5
184,Arb_01,market,sell,MKT,5
185,MM_01,limit,sell,95.9,10
185,Trend_01,market,sell,MKT,5
186,MM_01,limit,sell,95.81,10
186,Trend_01,market,sell,MKT,5
186,Arb_01,market,buy,MKT,5
187,MM_01,limit,buy,96.66,10
187,Trend_01,market,buy,MKT,5
188,MM_01,limit,buy,96.32,10
188,Trend_01,market,buy,MKT,5
188,Arb_01,market,sell,MKT,5
189,MM_01,limit,sell,96.4,10
189,Trend_01,market,buy,MKT,5
189,Arb_01,market,sell,MKT,5
190,MM_01,limit,buy,96.44,10
190,Trend_01,market,buy,MKT,5
190,Arb_01,market,buy,MKT,5
191,MM_01,limit,buy,96.52,10
191,Trend_01,market,buy,MKT,5
191,Arb_01,market,sell,MKT,5
192,MM_01,limit,sell,97.08,10
192,Trend_01,market,buy,MKT,5
192,Arb_01,market,sell,MKT,5
193,MM_01,limit,buy,96.39,10
193,Trend_01,market,sell,MKT,5
194,MM_01,limit,sell,96.89,10
194,Trend_01,market,buy,MKT,5
194,Arb_01,market,buy,MKT,5
195,MM_01,limit,buy,95.86,10
195,Trend_01,market,sell,MKT,5
196,MM_01,limit,buy,95.96,10
196,Trend_01,market,sell,MKT,5
196,Arb_01,market,buy,MKT,5
197,MM_01,limit,sell,95.49,10
197,Trend_01,market,sell,MKT,5
197,Arb_01,market,sell,MKT,5
198,MM_01,limit,sell,95.55,10
198,Trend_01,market,sell,MKT,5
198,Arb_01,market,sell,MKT,5
199,MM_01,limit,sell,95.6,10
199,Trend_01,market,sell,MKT,5
200,MM_01,limit,sell,95.72,10
200,Trend_01,market,buy,MKT,5
200,Arb_01,market,buy,MKT,5
201,MM_01,limit,buy,95.97,10
201,Trend_01,market,buy,MKT,5
201,Arb_01,market,buy,MKT,5
202,MM_01,limit,buy,95.14,10
202,Trend_01,market,sell,MKT,5
202,Arb_01,market,sell,MKT,5
203,MM_01,limit,sell,96.08,10
203,Trend_01,market,buy,MKT,5
203,Arb_01,market,buy,MKT,5
204,MM_01,limit,buy,96.21,10
204,Trend_01,market,buy,MKT,5
204,Arb_01,market,buy,MKT,5
205,MM_01,limit,buy,96.49,10
205,Trend_01,market,buy,MKT,5
206,MM_01,limit,buy,96.51,10
206,Trend_01,market,buy,MKT,5
206,Arb_01,market,sell,MKT,5
207,MM_01,limit,buy,96.56,10
207,Trend_01,market,buy,MKT,5
207,Arb_01,market,buy,MKT,5
208,MM_01,limit,buy,97.23,10
208,Trend_01,market,buy,MKT,5
208,Arb_01,market,sell,MKT,5
209,MM_01,limit,sell,97.7,10
209,Trend_01,market,buy,MKT,5
209,Arb_01,market,sell,MKT,5
210,MM_01,limit,buy,97.08,10
210,Trend_01,market,sell,MKT,5
211,MM_01,limit,sell,96.52,10
211,Trend_01,market,sell,MKT,5
211,Arb_01,market,buy,MKT,5
212,MM_01,limit,buy,97.14,10
212,Trend_01,market,buy,MKT,5
212,Arb_01,market,buy,MKT,5
213,MM_01,limit,buy,96.87,10
213,Trend_01,market,buy,MKT,5
214,MM_01,limit,buy,97.18,10
214,Trend_01,market,buy,MKT,5
214,Arb_01,market,buy,MKT,5
215,MM_01,limit,buy,97.39,10
215,Trend_01,market,buy,MKT,5
215,Arb_01,market,sell,MKT,5
216,MM_01,limit,sell,97.68,10
216,Trend_01,market,buy,MKT,5
216,Arb_01,market,sell,MKT,5
217,MM_01,limit,buy,97.61,10
217,Trend_01,market,buy,MKT,5
218,MM_01,limit,buy,97.62,10
218,Trend_01,market,buy,MKT,5
218,Arb_01,market,sell,MKT,5
219,MM_01,limit,sell,97.71,10
219,Trend_01,market,sell,MKT,5
220,MM_01,limit,sell,97.58,10
220,Trend_01,market,sell,MKT,5
220,Arb_01,market,buy,MKT,5
221,MM_01,limit,buy,96.45,10
221,Trend_01,market,sell,MKT,5
222,MM_01,limit,sell,96.13,10
222,Trend_01,market,sell,MKT,5
222,Arb_01,market,sell,MKT,5
223,MM_01,limit,sell,95.99,10
223,Trend_01,market,sell,MKT,5
223,Arb_01,market,sell,MKT,5
224,MM_01,limit,sell,96.28,10
224,Trend_01,market,buy,MKT,5
225,MM_01,limit,buy,96.57,10
225,Trend_01,market,buy,MKT,5
225,Arb_01,market,sell,MKT,5
226,MM_01,limit,sell,96.13,10
226,Trend_01,market,sell,MKT,5
226,Arb_01,market,sell,MKT,5
227,MM_01,limit,sell,96.82,10
227,Trend_01,market,buy,MKT,5
228,MM_01,limit,buy,96.59,10
228,Trend_01,market,buy,MKT,5
228,Arb_01,market,buy,MKT,5
229,MM_01,limit,buy,97.02,10
229,Trend_01,market,buy,MKT,5
230,MM_01,limit,buy,97.95,10
230,Trend_01,market,buy,MKT,5
230,Arb_01,market,buy,MKT,5
231,MM_01,limit,buy,98.04,10
231,Trend_01,market,buy,MKT,5
231,Arb_01,market,buy,MKT,5
232,MM_01,limit,buy,97.19,10
232,Trend_01,market,sell,MKT,5
232,Arb_01,market,buy,MKT,5
233,MM_01,limit,sell,97.71,10
233,Trend_01,market,sell,MKT,5
233,Arb_01,market,sell,MKT,5
234,MM_01,limit,sell,97.67,10
234,Trend_01,market,sell,MKT,5
234,Arb_01,market,sell,MKT,5
235,MM_01,limit,sell,97.24,10
235,Trend_01,market,sell,MKT,5
235,Arb_01,market,sell,MKT,5
236,MM_01,limit,sell,97.12,10
236,Trend_01,market,sell,MKT,5
237,MM_01,limit,sell,96.81,10
237,Trend_01,market,sell,MKT,5
237,Arb_01,market,sell,MKT,5
238,MM_01,limit,sell,97.18,10
238,Trend_01,market,buy,MKT,5
239,MM_01,limit,buy,96.92,10
239,Trend_01,market,buy,MKT,5
240,MM_01,limit,buy,97.05,10
240,Trend_01,market,buy,MKT,5
240,Arb_01,market,buy,MKT,5
241,MM_01,limit,buy,97.48,10
241,Trend_01,market,buy,MKT,5
242,MM_01,limit,buy,97.11,10
242,Trend_01,market,sell,MKT,5
243,MM_01,limit,sell,97.07,10
243,Trend_01,market,sell,MKT,5
243,Arb_01,market,buy,MKT,5
244,MM_01,limit,buy,96.63,10
244,Trend_01,market,sell,MKT,5
244,Arb_01,market,buy,MKT,5
245,MM_01,limit,sell,96.67,10
245,Trend_01,market,sell,MKT,5
245,Arb_01,market,buy,MKT,5
246,MM_01,limit,buy,97.06,10
246,Trend_01,market,buy,MKT,5
246,Arb_01,market,buy,MKT,5
247,MM_01,limit,buy,96.71,10
247,Trend_01,market,sell,MKT,5
247,Arb_01,market,sell,MKT,5
248,MM_01,limit,sell,96.39,10
248,Trend_01,market,sell,MKT,5
248,Arb_01,market,sell,MKT,5
249,MM_01,limit,sell,96.11,10
249,Trend_01,market,sell,MKT,5
249,Arb_01,market,sell,MKT,5
250,MM_01,limit,sell,96.18,10
250,Trend_01,market,sell,MKT,5
250,Arb_01,market,buy,MKT,5
251,MM_01,limit,sell,95.17,10
251,Trend_01,market,sell,MKT,5
252,MM_01,limit,sell,95.3,10
252,Trend_01,market,sell,MKT,5
252,Arb_01,market,buy,MKT,5
253,MM_01,limit,buy,95.48,10
253,Trend_01,market,buy,MKT,5
254,MM_01,limit,buy,95.14,10
254,Trend_01,market,sell,MKT,5
254,Arb_01,market,sell,MKT,5
255,MM_01,limit,sell,94.86,10
255,Trend_01,market,sell,MKT,5
255,Arb_01,market,sell,MKT,5
256,MM_01,limit,sell,95.57,10
256,Trend_01,market,buy,MKT,5
256,Arb_01,market,buy,MKT,5
257,MM_01,limit,buy,94.94,10
257,Trend_01,market,sell,MKT,5
257,Arb_01,market,sell,MKT,5
258,MM_01,limit,sell,94.32,10
258,Trend_01,market,sell,MKT,5
258,Arb_01,market,buy,MKT,5
259,MM_01,limit,sell,94.65,10
259,Trend_01,market,sell,MKT,5
259,Arb_01,market,buy,MKT,5
260,MM_01,limit,buy,94.75,10
260,Trend_01,market,buy,MKT,5
260,Arb_01,market,sell,MKT,5
261,MM_01,limit,sell,94.12,10
261,Trend_01,market,sell,MKT,5
261,Arb_01,market,buy,MKT,5
262,MM_01,limit,buy,93.66,10
262,Trend_01,market,sell,MKT,5
263,MM_01,limit,sell,93.41,10
263,Trend_01,market,sell,MKT,5
264,MM_01,limit,sell,92.91,10
264,Trend_01,market,sell,MKT,5
264,Arb_01,market,sell,MKT,5
265,MM_01,limit,sell,92.9,10
265,Trend_01,market,sell,MKT,5
265,Arb_01,market,sell,MKT,5
266,MM_01,limit,sell,93.29,10
266,Trend_01,market,buy,MKT,5
266,Arb_01,market,buy,MKT,5
267,MM_01,limit,buy,92.46,10
267,Trend_01,market,sell,MKT,5
267,Arb_01,market,sell,MKT,5
268,MM_01,limit,sell,92.31,10
268,Trend_01,market,sell,MKT,5
268,Arb_01,market,sell,MKT,5
269,MM_01,limit,sell,92.47,10
269,Trend_01,market,sell,MKT,5
269,Arb_01,market,sell,MKT,5
270,MM_01,limit,sell,93.0,10
270,Trend_01,market,buy,MKT,5
